image,sentiment,confidence,explanation
id_1099119387708178433_2019-02-23.jpg,negative,0.9,"The image shows the aftermath of a flood, which is a negative event. The article headline also indicates that the White House Climate Panel will include a climate denier, which is also negative news."
id_1097492315067895808_2019-02-18.jpg,positive,0.7,"The image is about climate change. It talks about the urgency of taking action to address climate change and the importance of cooperation between countries. The tone of the image is positive, as it expresses hope that we can still avoid the worst effects of climate change if we act now."
id_1132025254975606784_2019-05-24.jpg,negative,0.95,The image shows a group of people holding a banner that says 'We don't want to die'. This is a negative sentiment because it expresses a fear of death.
id_1110648055588667392_2019-03-26.jpg,positive,0.7,"The image shows a politician pointing at a picture of Aquaman riding a seahorse. It is a funny and lighthearted image, and the politician is smiling. This suggests that the sentiment of the image is positive."
id_1120785347447799809_2019-04-23.jpg,negative,0.9,"The tweet is about Greta Thunberg, a climate change activist. The author of the tweet is asking for an interview between Thunberg and Andrew Neil, a journalist known for his tough interviewing style. The author expresses the hope that Thunberg will have a meltdown during the interview, which will lead to her never being heard from again. The tweet is clearly negative in sentiment."
id_1122375256814100480_2019-04-28.jpg,negative,0.8,The image shows a group of people lying on the ground in a museum. They are holding signs that say things like 'We are in the midst of the sixth mass extinction' and 'Climate change is real.' The people in the image are likely protesting the government's lack of action on climate change. The image is negative because it shows people who are concerned about the future of the planet.
id_1131607773794447360_2019-05-23.jpg,positive,0.9,The image shows a young woman smiling and holding a globe and a leaf. She is wearing a graduation cap and a Cornell University sweatshirt. The background is a laboratory. The image is likely taken to celebrate the woman's graduation. The sentiment of the image is positive.
id_1117043107969871872_2019-04-13.jpg,negative,0.9,"The image shows a group of people holding signs and protesting about climate change. The signs have slogans such as 'Love the Earth', 'Don't burn my future', and 'Climate change is real'. The people are also chanting and shouting. The overall sentiment of the image is negative because it shows people are concerned and angry about climate change."
id_1159964275856879617_2019-08-09.jpg,negative,0.8,"The image shows a man shooting an iceberg. This is likely to be seen as a negative event, as icebergs are important for the environment and should not be shot."
id_1104639909715984384_2019-03-10.jpg,negative,0.8,The image shows a iceberg with Donald Trump's face. Icebergs are often seen as a symbol of danger and the iceberg is melting which could be seen as a metaphor for Trump's presidency.
id_1082683461956194305_2019-01-08.jpg,negative,0.9,"The image is a political cartoon that depicts a large wave labeled 'Climate Change' threatening to destroy a city. The cartoonist has used hyperbole and satire to make a point about climate change and immigration. The image is clearly intended to be humorous, but it also has a serious message about the dangers of climate change."
id_1095752716620611586_2019-02-13.jpg,negative,0.8,"The image is Greta Thunberg, a climate change activist, saying that adults keep saying they owe it to the young people to give them hope, but she doesn't want their hope, she wants them to act. She wants them to act as if the house was on fire, because it is. This is a negative sentiment because it is expressing a sense of urgency and frustration."
id_1093886200723709953_2019-02-08.jpg,negative,0.9,"The image shows the Titanic sinking, with the text above it saying 'If we're sinking why are we hundreds of feet up in the air?'. This is a reference to the Trump administration's denial of climate change, and the fact that the Trump administration is doing nothing to address the issue. The image is clearly intended to be critical of the Trump administration's stance on climate change."
id_1121803192067612672_2019-04-26.jpg,negative,0.9,The image shows a man eating food off of a spoon that is being held by a woman. The man has his tongue out and looks to be enjoying the food. The woman is smiling but looks stern. The image is likely depicting a power dynamic where the woman is in control and the man is subservient.
id_1123677919639949312_2019-05-01.jpg,negative,0.9,"The image shows two grim reapers, one labeled 'anti-vax' and the other 'climate change denial'. They are shown as being in love and saying 'You complete me!', which suggests that they are both equally bad and deserve each other. The image is clearly intended to be critical of both anti-vax and climate change denial movements."
id_1137514915328139275_2019-06-09.jpg,neutral,0.6,The image shows a picture of Donald Trump with a neutral facial expression. It is difficult to determine the sentiment of the image based on the facial expression alone.
id_1150122829641203712_2019-07-13.jpg,negative,0.9,"The image shows a child looking through a hole in a metal door. The child is in a dark room, and the only light comes from the hole. The child's expression is sad and hopeless. The image is likely depicting the conditions in which children are being held in detention camps. The image is negative because it shows the suffering of children."
id_1161617157014392832_2019-08-14.jpg,positive,0.8,"The image is of a character from the Simpsons, who is saying 'So, you want a totally down-to-earth, non-expert everyman...'. This is a positive statement, as it is suggesting that the speaker is willing to listen to the opinions of others and is not an expert on everything."
