,image,sentiment
0,id_1150709442972913665_2019-07-15.jpg,Negative
1,id_1162430584238555138_2019-08-16.jpg,Negative
2,id_1155571538680274951_2019-07-28.jpg,Neutral
3,id_1160121144835489792_2019-08-10.jpg,Positive
4,id_1153252991157374977_2019-07-22.jpg,Neutral
5,id_1161871584765894656_2019-08-15.jpg,Positive
6,id_1163545869959847936_2019-08-19.jpg,Neutral
7,id_1155814839484334081_2019-07-29.jpg,Neutral
8,id_1149017645586538496_2019-07-10.jpg,Positive
9,id_1148618707792551936_2019-07-09.jpg,Negative
10,id_1152941406429708288_2019-07-21.jpg,Neutral
11,id_1157352883240804353_2019-08-02.jpg,Negative
12,id_1151518242558681088_2019-07-17.jpg,Neutral
13,id_1154423322588995585_2019-07-25.jpg,Neutral
14,id_1159587193624694785_2019-08-08.jpg,Positive
15,id_1162484825539825664_2019-08-16.jpg,Negative
16,id_1154073758346428430_2019-07-24.jpg,Neutral
17,id_1158085603885506563_2019-08-04.jpg,Negative
18,id_1158336024675782656_2019-08-05.jpg,Neutral
19,id_1159772466912387072_2019-08-09.jpg,Neutral
20,id_1153578944739909632_2019-07-23.jpg,Neutral
21,id_1157002171759640583_2019-08-01.jpg,Neutral
22,id_1163558515933437952_2019-08-19.jpg,Neutral
23,id_1153608587492638720_2019-07-23.jpg,Negative
24,id_1153711593710112770_2019-07-23.jpg,Positive
25,id_1159227497751482373_2019-08-07.jpg,Positive
26,id_1156673423818579973_2019-07-31.jpg,Positive
27,id_1152262190222794753_2019-07-19.jpg,Positive
28,id_1158834225182892035_2019-08-06.jpg,Neutral
29,id_1156575755805106177_2019-07-31.jpg,Positive
30,id_1159939305814577152_2019-08-09.jpg,Neutral
31,id_1160123448141778945_2019-08-10.jpg,Negative
32,id_1150136039689859072_2019-07-13.jpg,Positive
33,id_1154623969728876544_2019-07-26.jpg,Neutral
34,id_1153365300341030913_2019-07-22.jpg,Neutral
35,id_1151620325802676227_2019-07-17.jpg,Negative
36,id_1163168187535564800_2019-08-18.jpg,Negative
37,id_1155849996102557696_2019-07-29.jpg,Positive
38,id_1156958845824045059_2019-08-01.jpg,Positive
39,id_1155903356860272643_2019-07-29.jpg,Positive
40,id_1161047163008364546_2019-08-12.jpg,Negative
41,id_1155787565057941504_2019-07-29.jpg,Positive
42,id_1159763219994402816_2019-08-09.jpg,Neutral
43,id_1151652589835964416_2019-07-18.jpg,Negative
44,id_1157024967403421696_2019-08-01.jpg,Positive
45,id_1154103616057139200_2019-07-24.jpg,Neutral
46,id_1159425847528284160_2019-08-08.jpg,Positive
47,id_1156944335067209728_2019-08-01.jpg,Neutral
48,id_1154368611382976513_2019-07-25.jpg,Positive
49,id_1153390635782684673_2019-07-22.jpg,Negative
50,id_1158964646600040448_2019-08-07.jpg,Neutral
51,id_1156306098132901889_2019-07-30.jpg,Negative
52,id_1162024499115692032_2019-08-15.jpg,Neutral
53,id_1149262064269107200_2019-07-11.jpg,Negative
54,id_1154479055833460736_2019-07-25.jpg,Neutral
55,id_1152168609030070272_2019-07-19.jpg,Positive
56,id_1154501421686857728_2019-07-25.jpg,Negative
57,id_1155848002940088320_2019-07-29.jpg,Positive
58,id_1156475080391528448_2019-07-31.jpg,Neutral
59,id_1152276924120612866_2019-07-19.jpg,Positive
60,id_1151287405871271942_2019-07-17.jpg,Positive
61,id_1155121272633864194_2019-07-27.jpg,Negative
62,id_1155455713772261377_2019-07-28.jpg,Neutral
63,id_1155325451994304512_2019-07-28.jpg,Negative
64,id_1158278291633201152_2019-08-05.jpg,Positive
65,id_1150299677230862336_2019-07-14.jpg,Negative
66,id_1150752159316742145_2019-07-15.jpg,Neutral
67,id_1162683970754088960_2019-08-17.jpg,Positive
68,id_1160473548693147648_2019-08-11.jpg,Neutral
69,id_1156262863977287681_2019-07-30.jpg,Neutral
70,id_1150355124071620609_2019-07-14.jpg,Neutral
71,id_1154070463401750528_2019-07-24.jpg,Positive
72,id_1154487437990621184_2019-07-25.jpg,Negative
73,id_1155768122273665024_2019-07-29.jpg,Neutral
74,id_1156822252937187328_2019-08-01.jpg,Positive
75,id_1156886516066594817_2019-08-01.jpg,Negative
76,id_1149695003771494400_2019-07-12.jpg,Positive
77,id_1161656934887559168_2019-08-14.jpg,Positive
78,id_1154323994222481408_2019-07-25.jpg,Negative
79,id_1153601313281839104_2019-07-23.jpg,Negative
80,id_1153684729633353730_2019-07-23.jpg,Negative
81,id_1151548414355750912_2019-07-17.jpg,Positive
82,id_1159215190287822858_2019-08-07.jpg,Negative
83,id_1148852887394693121_2019-07-10.jpg,Neutral
84,id_1154831910700380160_2019-07-26.jpg,Positive
85,id_1153693369199136771_2019-07-23.jpg,Positive
86,id_1159167983333384193_2019-08-07.jpg,Neutral
87,id_1156380868211949568_2019-07-31.jpg,Positive
88,id_1159892237410607104_2019-08-09.jpg,Negative
89,id_1156250029553790976_2019-07-30.jpg,Positive
90,id_1151985400031981569_2019-07-18.jpg,Neutral
91,id_1151186665391759360_2019-07-16.jpg,Positive
92,id_1153246613130764289_2019-07-22.jpg,Positive
93,id_1150840921589780485_2019-07-15.jpg,Neutral
94,id_1157728984152457216_2019-08-03.jpg,Positive
95,id_1160173957112311809_2019-08-10.jpg,Neutral
96,id_1154091265622970369_2019-07-24.jpg,Neutral
97,id_1161298092169355264_2019-08-13.jpg,Neutral
98,id_1154305304529690632_2019-07-25.jpg,Positive
99,id_1158320537296392192_2019-08-05.jpg,Neutral
100,id_1163480840631988224_2019-08-19.jpg,Positive
101,id_1151851772052271105_2019-07-18.jpg,Negative
102,id_1161691975285968897_2019-08-14.jpg,Neutral
103,id_1163818736517648384_2019-08-20.jpg,Neutral
104,id_1159440008362811394_2019-08-08.jpg,Positive
105,id_1153316266834190337_2019-07-22.jpg,Neutral
106,id_1158518581123936256_2019-08-05.jpg,Negative
107,id_1161865984912896000_2019-08-15.jpg,Positive
108,id_1148636778443739136_2019-07-09.jpg,Neutral
109,id_1156286846751694848_2019-07-30.jpg,Positive
110,id_1163454422107791361_2019-08-19.jpg,Neutral
111,id_1149160593259032576_2019-07-11.jpg,Neutral
112,id_1160962147372769281_2019-08-12.jpg,Neutral
113,id_1162126523026907136_2019-08-15.jpg,Neutral
114,id_1159503073615609857_2019-08-08.jpg,"The sentiment of the image is positive, as it features a bright and colorful logo of the social media platform, Twitt, with a positive and uplifting vibe."
115,id_1152635427314122753_2019-07-20.jpg,Positive
116,id_1156935897625124865_2019-08-01.jpg,Negative
117,id_1153675668586139649_2019-07-23.jpg,Positive
118,id_1151202681442226178_2019-07-16.jpg,Neutral
119,id_1156142453126311941_2019-07-30.jpg,Neutral
120,id_1163811419403329537_2019-08-20.jpg,Neutral
121,id_1154700299120123909_2019-07-26.jpg,Neutral
122,id_1154383978138341377_2019-07-25.jpg,Neutral
123,id_1158651388123144193_2019-08-06.jpg,Positive
124,id_1148693052908687360_2019-07-09.jpg,Negative
125,id_1157645111343374337_2019-08-03.jpg,Positive
126,id_1156545204385669121_2019-07-31.jpg,Negative
127,id_1158933027138854912_2019-08-07.jpg,Neutral
128,id_1158589112061845504_2019-08-06.jpg,Neutral
129,id_1158442119855562753_2019-08-05.jpg,Neutral
130,id_1158012979599872000_2019-08-04.jpg,Neutral
131,id_1154948212366512128_2019-07-27.jpg,Positive
132,id_1156812109658746880_2019-08-01.jpg,Neutral
133,id_1159407409317724160_2019-08-08.jpg,Positive
134,id_1148728539035787264_2019-07-09.jpg,Positive
135,id_1151421855137505280_2019-07-17.jpg,Positive
136,id_1160074904517001216_2019-08-10.jpg,Neutral
137,id_1151047861855035393_2019-07-16.jpg,Neutral
138,id_1162384275888623617_2019-08-16.jpg,Positive
139,id_1156478100349292544_2019-07-31.jpg,Negative
140,id_1151062883524124672_2019-07-16.jpg,Positive
141,id_1150172322659045376_2019-07-13.jpg,Positive
142,id_1152233634830725121_2019-07-19.jpg,Positive
143,id_1149173605105729536_2019-07-11.jpg,Positive
144,id_1158828720104366081_2019-08-06.jpg,Positive
145,id_1154612327079206913_2019-07-26.jpg,Neutral
146,id_1157225829946023941_2019-08-02.jpg,Neutral
147,id_1155753715468574720_2019-07-29.jpg,Neutral
148,id_1151733381195030529_2019-07-18.jpg,Positive
149,id_1159524735962812417_2019-08-08.jpg,Neutral
150,id_1152615533247905792_2019-07-20.jpg,Positive
151,id_1150233536827281408_2019-07-14.jpg,Neutral
152,id_1151384879793414144_2019-07-17.jpg,Positive
153,id_1159390276173123584_2019-08-08.jpg,Positive
154,id_1161669221094477825_2019-08-14.jpg,Positive
155,id_1152269887911473152_2019-07-19.jpg,Positive
156,id_1150817502378807296_2019-07-15.jpg,Neutral
157,id_1159520989530562560_2019-08-08.jpg,Negative
158,id_1150528102558326786_2019-07-14.jpg,Negative
159,id_1153647033858887681_2019-07-23.jpg,Neutral
160,id_1159147188779409412_2019-08-07.jpg,Positive
161,id_1157682604038074371_2019-08-03.jpg,Neutral
162,id_1153295110337105920_2019-07-22.jpg,Positive
163,id_1155530963797065729_2019-07-28.jpg,Positive
164,id_1148720751068925952_2019-07-09.jpg,Neutral
165,id_1154887246811717632_2019-07-26.jpg,Positive
166,id_1149198093101031424_2019-07-11.jpg,Positive
167,id_1156519880054587392_2019-07-31.jpg,Positive
168,id_1158463382305067008_2019-08-05.jpg,Positive
169,id_1159028998539829251_2019-08-07.jpg,Neutral
170,id_1156822090814767104_2019-08-01.jpg,Neutral
171,id_1154122919108325377_2019-07-24.jpg,Neutral
172,id_1163791148130951168_2019-08-20.jpg,Neutral
173,id_1163751660595949570_2019-08-20.jpg,Negative
174,id_1163726754101551104_2019-08-20.jpg,Neutral
175,id_1151918967604146176_2019-07-18.jpg,Neutral
176,id_1160922529025933313_2019-08-12.jpg,Negative
177,id_1156195353508700160_2019-07-30.jpg,Positive
178,id_1153410576506220544_2019-07-22.jpg,Neutral
179,id_1152690492364218370_2019-07-20.jpg,Positive
180,id_1150842341688786948_2019-07-15.jpg,Negative
181,id_1160856504561332224_2019-08-12.jpg,Positive
182,id_1154059626922442752_2019-07-24.jpg,Neutral
183,id_1154363452053491713_2019-07-25.jpg,Positive
184,id_1159416812972445696_2019-08-08.jpg,Neutral
185,id_1154749082952450059_2019-07-26.jpg,Neutral
186,id_1150770285592887296_2019-07-15.jpg,Neutral
187,id_1163143540739891206_2019-08-18.jpg,Positive
188,id_1156460361077395457_2019-07-31.jpg,Neutral
189,id_1156541804315107328_2019-07-31.jpg,Negative
190,id_1163877867748515842_2019-08-20.jpg,Neutral
191,id_1150471659415113728_2019-07-14.jpg,Negative
192,id_1161975832635760640_2019-08-15.jpg,Negative
193,id_1157393476733943809_2019-08-02.jpg,Positive
194,id_1162087594219454465_2019-08-15.jpg,Positive
195,id_1162401234684456960_2019-08-16.jpg,Positive
196,id_1160226803459547137_2019-08-10.jpg,Positive
197,id_1158873081777139713_2019-08-06.jpg,Positive
198,id_1153431140444725248_2019-07-22.jpg,Neutral
199,id_1151947812751466497_2019-07-18.jpg,Neutral
200,id_1149067170996871168_2019-07-10.jpg,Positive
201,id_1159580266513477633_2019-08-08.jpg,Negative
202,id_1160189177616617472_2019-08-10.jpg,Neutral
203,id_1149562068103598081_2019-07-12.jpg,Positive
204,id_1152392499547320320_2019-07-20.jpg,Positive
205,id_1162522973020086274_2019-08-17.jpg,Neutral
206,id_1159805248296357890_2019-08-09.jpg,Positive
207,id_1151898645589110785_2019-07-18.jpg,Neutral
208,id_1161840104643518464_2019-08-15.jpg,Positive
209,id_1163363351189250048_2019-08-19.jpg,Negative
210,id_1163873910896701440_2019-08-20.jpg,Positive
211,id_1162279960335114240_2019-08-16.jpg,Neutral
212,id_1150187679662821376_2019-07-13.jpg,Neutral
213,id_1161648461273423872_2019-08-14.jpg,Neutral
214,id_1152759549700395008_2019-07-21.jpg,Positive
215,id_1160284391052107781_2019-08-10.jpg,Positive
216,id_1160571713677078528_2019-08-11.jpg,Negative
217,id_1151084372348604416_2019-07-16.jpg,Neutral
218,id_1162030619775442945_2019-08-15.jpg,Neutral
219,id_1160791027936124928_2019-08-12.jpg,Negative
220,id_1148820860360429568_2019-07-10.jpg,Positive
221,id_1153421364520529920_2019-07-22.jpg,Neutral
222,id_1152874615171092480_2019-07-21.jpg,Positive
223,id_1154708109371117568_2019-07-26.jpg,Positive
224,id_1154411008796110848_2019-07-25.jpg,Positive
225,id_1163909829800452098_2019-08-20.jpg,Negative
226,id_1157017126512791553_2019-08-01.jpg,Negative
227,id_1160600869961981952_2019-08-11.jpg,Negative
228,id_1158716938152898560_2019-08-06.jpg,Neutral
229,id_1160946845855735809_2019-08-12.jpg,Positive
230,id_1154706186727542784_2019-07-26.jpg,Positive
231,id_1160836422556946433_2019-08-12.jpg,Positive
232,id_1151848441926103040_2019-07-18.jpg,Positive
233,id_1149206043387465729_2019-07-11.jpg,Neutral
234,id_1161262622953488384_2019-08-13.jpg,Positive
235,id_1153737072076886016_2019-07-23.jpg,Positive
236,id_1154711738828369922_2019-07-26.jpg,Neutral
237,id_1149241929374339072_2019-07-11.jpg,Positive
238,id_1155991397004001281_2019-07-30.jpg,Neutral
239,id_1149364667124289536_2019-07-11.jpg,Negative
240,id_1156959030868414464_2019-08-01.jpg,Negative
