image,error,finish_reason,HARM_CATEGORY_SEXUALLY_EXPLICIT,HARM_CATEGORY_HATE_SPEECH,HARM_CATEGORY_HARASSMENT,HARM_CATEGORY_DANGEROUS_CONTENT
id_1105854449824792576_2019-03-13.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1106609202208956417_2019-03-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1106249686069866496_2019-03-14.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1096476267866742786_2019-02-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1100699099165265920_2019-02-27.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1087172533525323776_2019-01-21.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1106601382067339264_2019-03-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1098836291117084672_2019-02-22.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1096769963287891969_2019-02-16.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1097875389471285248_2019-02-19.jpg,503 The model is overloaded. Please try again later.,SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1094594345704083456_2019-02-10.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1099388874286084096_2019-02-23.jpg,503 The model is overloaded. Please try again later.,SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1085806407566290944_2019-01-17.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1100519419745263616_2019-02-26.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1105938221056184320_2019-03-13.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1103750649999777792_2019-03-07.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1091374844288000000_2019-02-01.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1093441978581307392_2019-02-07.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1100956196964651008_2019-02-28.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1088767194429878272_2019-01-25.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1096402197649260545_2019-02-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1096472357252804609_2019-02-15.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1106247081172168704_2019-03-14.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1090303533872758786_2019-01-29.jpg,Unterminated string starting at: line 1 column 61 (char 60),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1116694399512133634_2019-04-12.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1124630247650013185_2019-05-04.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1121740122641321985_2019-04-26.jpg,503 The model is overloaded. Please try again later.,SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1124296889699119105_2019-05-03.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1115954476828037121_2019-04-10.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1135520254589919235_2019-06-03.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1123521706688176128_2019-05-01.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1135562119825543168_2019-06-03.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1129734283118219266_2019-05-18.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1122531067192336384_2019-04-28.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1128684136414294016_2019-05-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1120456901047857153_2019-04-22.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1136636158362996736_2019-06-06.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1135872712969216003_2019-06-04.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1116694276723888128_2019-04-12.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1119275923646423043_2019-04-19.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1119187075935420417_2019-04-19.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1127947669803085825_2019-05-13.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1162127258145837056_2019-08-15.jpg,503 The model is overloaded. Please try again later.,SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1156640914787512321_2019-07-31.jpg,503 The model is overloaded. Please try again later.,SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1150255782379892736_2019-07-14.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1106258091052548096_2019-03-14.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1095438922149216261_2019-02-12.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1107120769337716736_2019-03-17.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1082673367982002177_2019-01-08.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1102784853781692417_2019-03-05.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1101565050714836994_2019-03-01.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1099150134351294464_2019-02-23.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1088082018104197123_2019-01-23.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1091659736171376640_2019-02-02.jpg,Invalid \escape: line 1 column 126 (char 125),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1098563554465202176_2019-02-21.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1105185033642524673_2019-03-11.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1102585113181868032_2019-03-04.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1093947674624184321_2019-02-08.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1124052609243996160_2019-05-02.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1118148163158913024_2019-04-16.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1110604991180374016_2019-03-26.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1128664119815569408_2019-05-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1131247633635434497_2019-05-22.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1127181817180614656_2019-05-11.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1133313167105200129_2019-05-28.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1135245086063808514_2019-06-02.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1133900487474917376_2019-05-30.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1118020198265761792_2019-04-16.jpg,Unterminated string starting at: line 1 column 62 (char 61),SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1163457126787878912_2019-08-19.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.",SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
id_1156819162779529216_2019-08-01.jpg,503 The model is overloaded. Please try again later.,SAFETY,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
