image,sentiment,confidence,explanation
id_1105854449824792576_2019-03-13.jpg,prediction failed,0,No sentiment detected.
id_1106258091052548096_2019-03-14.jpg,prediction failed,0,No sentiment detected.
id_1106609202208956417_2019-03-15.jpg,prediction failed,0,No sentiment detected.
id_1099150134351294464_2019-02-23.jpg,prediction failed,0,No sentiment detected.
id_1106249686069866496_2019-03-14.jpg,prediction failed,0,No sentiment detected.
id_1095438922149216261_2019-02-12.jpg,prediction failed,0,No sentiment detected.
id_1099119387708178433_2019-02-23.jpg,prediction failed,0,No sentiment detected.
id_1100513685494263808_2019-02-26.jpg,prediction failed,0,No sentiment detected.
id_1110553368387297280_2019-03-26.jpg,negative,0.8,"The image is about a senator giving a speech about climate change. The senator is saying that the Republicans are refusing to admit that climate change is real, that it is caused by humans, and that Congress must act on it. The image is negative because it is about a serious issue that is not being addressed by the government."
id_1081820266362093568_2019-01-06.jpg,positive,0.9,"The image shows a dog wearing a lab coat and safety goggles, It is smiling with its tongue out. It is likely that the dog is happy and excited to be working in the lab."
id_1097950288210812928_2019-02-19.jpg,negative,0.9,The image is a political cartoon about climate change. The cartoonist is skeptical about the claims of climate change and suggests that the world would be better off if we ignored them. The cartoon is likely to be interpreted as negative by most viewers.
id_1087940054931128323_2019-01-23.jpg,positive,0.9,"The image shows two women smiling and posing for a photo together. The overall appearance of the image is bright and cheerful, suggesting that the sentiment is positive."
id_1096476267866742786_2019-02-15.jpg,prediction failed,0,No sentiment detected.
id_1107120769337716736_2019-03-17.jpg,prediction failed,0,No sentiment detected.
id_1100699099165265920_2019-02-27.jpg,prediction failed,0,No sentiment detected.
id_1083530840250839040_2019-01-11.jpg,negative,0.9,"The image shows a painting of Donald Trump holding a phone in one hand and covering Martin Luther King Jr.'s mouth with the other hand. The background is a bookshelf with books and pictures on it. The image is a commentary on the current political climate in the United States, and it is likely intended to be critical of Donald Trump."
id_1082683461956194305_2019-01-08.jpg,prediction failed,0,No sentiment detected.
id_1090962970270711809_2019-01-31.jpg,negative,0.9,"The image is of Greta Thunberg, a climate change activist, with text saying adults keep saying we owe it to the young to give them hope, but she doesn't want hope, she wants them to act as if the house is on fire because it is. This is a negative sentiment because it is expressing a lack of hope and a sense of urgency."
id_1085932488902565889_2019-01-17.jpg,positive,0.7,"The man in the image is smiling and appears to be giving a speech. The background is blurred, but it looks like he is in a well-lit room. The overall tone of the image is positive."
id_1080199439992655872_2019-01-01.jpg,positive,0.8,The headline is about Joe Biden clarifying that he is not Bernie Sanders and that he does not think that 500 billionaires are the reason for the trouble. This is likely to be seen as a positive statement by those who support Biden and a negative statement by those who support Sanders.
id_1087172533525323776_2019-01-21.jpg,prediction failed,0,No sentiment detected.
id_1104639909715984384_2019-03-10.jpg,prediction failed,0,No sentiment detected.
id_1106601382067339264_2019-03-15.jpg,prediction failed,0,No sentiment detected.
id_1088363545635446784_2019-01-24.jpg,negative,0.8,The image shows a politician holding a piece of coal with a big smile on his face. This image is often used to criticize the politician and his party for their support of the coal industry.
id_1086603442175524864_2019-01-19.jpg,prediction failed,0,No sentiment detected.
id_1098836291117084672_2019-02-22.jpg,prediction failed,0,No sentiment detected.
id_1089132119283118080_2019-01-26.jpg,positive,0.6,"The image shows a group of young people holding signs and protesting about climate change. The signs have positive messages such as  'The world is melting' and 'I may be tall but I'll drown if you do'. The people in the image are also wearing warm clothes, which suggests that they are prepared for the cold weather. This suggests that they are determined to continue protesting even in harsh conditions. Overall, the image is positive because it shows that people are taking action to address climate change."
id_1082673367982002177_2019-01-08.jpg,prediction failed,0,No sentiment detected.
id_1104304154426687489_2019-03-09.jpg,negative,0.8,"The image shows a man, who seems to be giving a speech, with a very angry expression on his face."
id_1096769963287891969_2019-02-16.jpg,prediction failed,0,No sentiment detected.
id_1088082018104197123_2019-01-23.jpg,prediction failed,0,No sentiment detected.
id_1097875389471285248_2019-02-19.jpg,prediction failed,0,No sentiment detected.
id_1094729479702962187_2019-02-10.jpg,negative,0.9,"The tweet is about a politician, and it mentions that she announced her candidacy for president while standing in a blizzard. The tweet also mentions that she looked like a snowman at the end of her speech. The overall tone of the tweet is negative."
id_1089937379870294016_2019-01-28.jpg,positive,0.6,"The image shows a woman taking off her shirt in front of a window. The woman is smiling and has her eyes closed. The image is taken from a low angle, which makes the woman look powerful and confident. The overall tone of the image is positive and playful."
id_1102784853781692417_2019-03-05.jpg,prediction failed,0,No sentiment detected.
id_1096152795739291649_2019-02-14.jpg,negative,0.9,"The image is a political ad criticizing Donald Trump. The text on the image reads: 'This is the National Emergency'. The image is in dark colors and has a serious tone, which contributes to the negative sentiment."
id_1094594345704083456_2019-02-10.jpg,prediction failed,0,No sentiment detected.
id_1095425185992400896_2019-02-12.jpg,prediction failed,0,No sentiment detected.
id_1099388874286084096_2019-02-23.jpg,prediction failed,0,No sentiment detected.
id_1101565050714836994_2019-03-01.jpg,prediction failed,0,No sentiment detected.
id_1085806407566290944_2019-01-17.jpg,prediction failed,0,No sentiment detected.
id_1091659736171376640_2019-02-02.jpg,prediction failed,0,No sentiment detected.
id_1093883486065315842_2019-02-08.jpg,positive,0.9,The image shows a plant growing in soil with the text گکامت کا تھدہ سرز بنتا میں ہے (ݐ پلانٹ فور پاکستان) #Plant4Pakistan (گکامت کا تھدہ سرز بنتا میں ہے ہے پاکستان #Plant4Pakistan)
id_1100519419745263616_2019-02-26.jpg,prediction failed,0,No sentiment detected.
id_1085564946639974400_2019-01-16.jpg,prediction failed,0,No sentiment detected.
id_1105938221056184320_2019-03-13.jpg,prediction failed,0,No sentiment detected.
id_1100435975447162881_2019-02-26.jpg,negative,0.9,"The image is a screenshot of a tweet that is critical of the Democratic party's stance on climate change. The tweet states that it is irresponsible to put the blame on individual senators when the problem comes from the top, and that Democrats still won't acknowledge that Obama was a climate change denier."
id_1108127396631375874_2019-03-19.jpg,negative,0.9,The image is about climate change. The text on the image says that the argument about climate change is over and that anyone who doesn't believe that climate change is happening doesn't believe in science. The image is negative because it is expressing a negative opinion about climate change.
id_1101117025802485760_2019-02-28.jpg,negative,0.9,The image contains a quote from a politician expressing his concern about the lack of education about photosynthesis and climate change. The quote is negative in tone and expresses frustration and disappointment.
id_1104824208486486017_2019-03-10.jpg,neutral,0.6,"The image is of a bee on a pink background. Bees are often seen as positive symbols, but the image does not contain any other明顯的情绪线索。因此，我将这张图片歸類為中性。"
id_1095752716620611586_2019-02-13.jpg,prediction failed,0,No sentiment detected.
