image,sentiment,confidence,explanation
id_1157258552051937280_2019-08-02.jpg,negative,0.8,The image is about the UK birth rate hitting an 80-year low. The article is likely to be seen as negative as it is about a decline in the population.
id_1149660227295309825_2019-07-12.jpg,negative,0.8,"The image shows Leonardo DiCaprio, an actor known for his environmental activism, looking concerned with a picture of melting ice in the background. This suggests that the sentiment of the image is negative, as it is about the negative effects of climate change."
id_1158830281689903106_2019-08-06.jpg,neutral,0.9,The image shows a young girl in a yellow raincoat looking at the camera with a neutral expression. There is no clear indication of her emotional state or the sentiment of the image.
id_1137351131989008386_2019-06-08.jpg,neutral,1,The image is of a man in a suit speaking at a conference. His expression is neutral. It is not possible to determine the sentiment of the image from the content.
id_1157311548228100096_2019-08-02.jpg,negative,0.7,"The image shows the negative effects of climate change, such as rising sea levels, melting glaciers, and extreme weather events. It also shows how these effects are caused by human activities, such as burning fossil fuels and deforestation."
id_1161590403755327488_2019-08-14.jpg,neutral,1,The image is a close-up of a walrus. The walrus is looking at the camera with its mouth closed. Its expression is neutral.
id_1162127258145837056_2019-08-15.jpg,prediction failed,0,No sentiment detected.
id_1153803700130836480_2019-07-23.jpg,positive,0.75,"The image shows a large group of people gathered in a hall, listening to a speaker on stage. The people are sitting in rows and appear to be engaged and interested in what the speaker is saying. The overall sentiment of the image is positive."
id_1142318827650342912_2019-06-22.jpg,positive,0.6,"The image shows a small bird sitting on a branch of yellow flowers. The bird is looking at the camera with a slightly tilted head, which suggests curiosity or interest. The yellow flowers are a symbol of happiness and joy, and the bird is often associated with freedom and hope. The overall impression of the image is one of peace and tranquility."
id_1152271842410938368_2019-07-19.jpg,neutral,0.8,"The image depicts a group of women working on the beach. Their facial expressions are not clear, so it is difficult to determine their sentiment. The image does not contain any obvious positive or negative elements."
id_1155528889239855104_2019-07-28.jpg,positive,0.9,The image shows two girls planting a tree. The girls are smiling and look happy. The image is set in a natural outdoor environment. The overall tone of the image is positive.
id_1164157583990460417_2019-08-21.jpg,negative,0.9,"The image shows a comparison of a glacier in 1986 and 2019, with the 2019 image showing a significant reduction in the size of the glacier. The sentiment of the image is negative because it highlights the negative effects of climate change."
id_1158816769999540224_2019-08-06.jpg,negative,0.9,"The image shows a woman working in a dry, cracked field. The text on the image states that climate-related disasters now account for more than 80% of all major internationally reported disasters. This information is likely to make people feel sad or concerned, which is why the sentiment of the image is negative."
id_1161262376038985729_2019-08-13.jpg,neutral,1,The image shows four celebrities. Their facial expressions are neutral.
id_1145773493482610688_2019-07-01.jpg,neutral,1,The image is a list of states in the US. It does not express any sentiment.
id_1162063285501472768_2019-08-15.jpg,prediction failed,0,No sentiment detected.
id_1143414613146517504_2019-06-25.jpg,negative,0.9,"The image shows a map of the world with several natural disasters occurring simultaneously. The disasters include wildfires, heat waves, droughts, and floods. The image is likely to evoke feelings of sadness, worry, and concern in viewers."
id_1143883551718481920_2019-06-26.jpg,negative,0.6,The image is about climate change and disaster preparedness. The man in the image is testifying before a committee about the dangers of climate change. He is likely concerned about the effects of climate change and is trying to convince the committee to take action.
id_1156043258188959744_2019-07-30.jpg,positive,0.7,"The image shows a group of people planting trees. This is a positive act, as it helps to improve the environment."
id_1138442552439271424_2019-06-11.jpg,negative,0.9,"The image is a political cartoon that criticizes the Green New Deal, a proposed set of policies that aim to address climate change. The cartoon depicts Alexandria Ocasio-Cortez, a prominent supporter of the Green New Deal, standing on a melting glacier. She is pointing to a sign that says 'Climate Change Denier,' which is directed at a man standing next to her. The man is holding a sign that says 'We only got 12 years.' The cartoonist is using these images to suggest that the Green New Deal is unrealistic and that it will not be effective in addressing climate change."
id_1164018045016334336_2019-08-21.jpg,negative,0.9,The image shows a wildfire burning through a forest. The fire is spreading quickly and there are large clouds of smoke billowing into the air. The image is a reminder of the destructive power of wildfires and the importance of taking steps to prevent them.
id_1142970916525215749_2019-06-24.jpg,negative,0.9,The image is of a person with a skeptical expression on their face and is captioned with the text 'You can't be serious'. This suggests that the person in the image is feeling negative.
id_1154503723227291649_2019-07-25.jpg,negative,0.8,"The image is about the temperature in the Netherlands, and it shows that the temperature is above 40 degrees Celsius in many places. This is a negative sentiment, because high temperatures can be dangerous and uncomfortable."
id_1161307692364967939_2019-08-13.jpg,prediction failed,0,No sentiment detected.
id_1155721140297502720_2019-07-29.jpg,neutral,0.7,"The image shows a group of people sitting at a table and talking. The people are all wearing suits and ties, and there are flags of different countries in the background. The image is well-lit and the people look happy and engaged. The overall sentiment of the image is neutral."
id_1141716080882270209_2019-06-20.jpg,positive,0.7,"The image shows a thermometer with the text 'limiting global warming' next to it. The thermometer is going down, which indicates that the goal of limiting global warming is being achieved. The image also shows a green arrow pointing to the right, which indicates that progress is being made. The overall sentiment of the image is positive."
id_1161904282091819009_2019-08-15.jpg,negative,0.7,The article talks about the negative effects of coal consumption on the climate.
id_1153693691057451008_2019-07-23.jpg,neutral,1,The image is of a rocky mountain landscape with a cairn in the foreground. The sky is blue and there are some clouds. The image is peaceful and serene.
id_1141413013897039872_2019-06-19.jpg,positive,0.9,The image shows two elderly women standing in front of a house that is under construction. They are both smiling and looking at the camera. The image is taken in a rural setting. The sentiment of the image is positive because it shows two women who are happy and proud of their new home.
id_1158198003167125510_2019-08-05.jpg,neutral,0.8,The image shows a group of people standing on a dock. The people are all smiling and talking to each other. The background is a lake with mountains in the distance. The image is well-lit and the colors are bright. The overall tone of the image is positive.
id_1151341652637704193_2019-07-17.jpg,positive,0.6,"The image is about taking action on climate change. The tram is a symbol of public transportation, which is a more environmentally friendly way to travel. The image is set in a city, which is where most people live and work. The image is trying to encourage people to take action on climate change, and it is doing so in a positive way."
id_1139948274981490688_2019-06-15.jpg,neutral,0.6,The image shows a rocket on a launch pad. It is unclear whether the rocket is about to launch or has just landed. The image is not obviously positive or negative.
id_1142332511160164352_2019-06-22.jpg,positive,0.9,The image shows a group of people planting a tree. The people are smiling and appear to be enjoying themselves. The background is a lush green forest. The image is likely to evoke positive feelings in viewers.
