image,error,results
id_1105854449824792576_2019-03-13.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.","[index: 0
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: LOW
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
]"
id_1106609202208956417_2019-03-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.9, \""explanation\"": \""The image is of two young women holding a sign that says \'""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1106249686069866496_2019-03-14.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.8, \""explanation\"": \""The image is a political cartoon that is critical of protests. The cartoonist has drawn several people who are protesting about different issues, such as women\'s rights, gay rights, and climate change. The people in the cartoon""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1096476267866742786_2019-02-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.9, \""explanation\"": \""The image shows a person being arrested by the police. The person""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1100699099165265920_2019-02-27.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.","[index: 0
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
]"
id_1087172533525323776_2019-01-21.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.9, \""explanation\"": \""The image is a meme of Donald Trump with the text \'Days""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1106601382067339264_2019-03-15.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""positive\"", \""confidence\"": 0.9, \""explanation\"": \""The image shows two meerkats standing on their hind legs and""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1098836291117084672_2019-02-22.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.9, \""explanation\"": \""The image is a caricature of Elizabeth Warren, a politician known for""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1096769963287891969_2019-02-16.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.","[index: 0
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
]"
id_1097875389471285248_2019-02-19.jpg,503 The model is overloaded. Please try again later.,"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 1.0, \""explanation\"": \""The image is of a sign that lists four national emergencies: climate""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1094594345704083456_2019-02-10.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.9, \""explanation\"": \""The image is a quote that says \'You know, there was""
  }
  role: ""model""
}
finish_reason: RECITATION
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1099388874286084096_2019-02-23.jpg,503 The model is overloaded. Please try again later.,"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.9, \""explanation\"": \""The image is a meme that uses sarcasm to criticize the idea that""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
id_1085806407566290944_2019-01-17.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.","[index: 0
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
]"
id_1100519419745263616_2019-02-26.jpg,"The `response.text` quick accessor only works when the response contains a valid `Part`, but none was returned. Check the `candidate.safety_ratings` to see if the response was blocked.","[index: 0
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: LOW
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
]"
id_1105938221056184320_2019-03-13.jpg,Unterminated string starting at: line 1 column 62 (char 61),"[index: 0
content {
  parts {
    text: "" {\""sentiment\"": \""negative\"", \""confidence\"": 0.8, \""explanation\"": \""The image is about a student protest. The headline is negative and""
  }
  role: ""model""
}
finish_reason: SAFETY
safety_ratings {
  category: HARM_CATEGORY_SEXUALLY_EXPLICIT
  probability: NEGLIGIBLE
}
safety_ratings {
  category: HARM_CATEGORY_HATE_SPEECH
  probability: LOW
}
safety_ratings {
  category: HARM_CATEGORY_HARASSMENT
  probability: MEDIUM
}
safety_ratings {
  category: HARM_CATEGORY_DANGEROUS_CONTENT
  probability: NEGLIGIBLE
}
citation_metadata {
}
]"
