image,sentiment,confidence,explanation
id_1087717020001542151_2019-01-22.jpg,negative,1.0,'There is no planet B' suggests that Earth is the only planet we have and we should take care of it
id_1105854449824792576_2019-03-13.jpg,prediction failed,0.0,No sentiment detected.
id_1088764632901259264_2019-01-25.jpg,negative,0.9,"The image shows a group of people who are considered to be part of the elite, and they are all smiling and laughing. The text at the top of the image says 'Elite who flew to Davos on 1,500 private jets discuss climate change', and this suggests that the people in the image are not taking climate change seriously. The overall sentiment of the image is negative because it suggests that the elite are not doing enough to address climate change."
id_1086040260704985088_2019-01-17.jpg,negative,0.9,"The image shows a comparison between the Arctic ice cap in 2008 and 2018. The 2018 image shows a significant decrease in the ice cap, which is likely due to global warming. This is a negative trend, as the Arctic ice cap is an important part of the global climate system."
id_1106631808890867714_2019-03-15.jpg,positive,0.9,The image shows a group of children holding signs and chanting slogans in support of climate change action. The overall sentiment of the image is positive as it conveys a sense of hope and determination among the children to make a difference and save the planet.
id_1097870697974714369_2019-02-19.jpg,positive,0.8,"The image is a photo of Bernie Sanders smiling with a list of his 2020 presidential campaign platform. The platform includes popular progressive policies such as Medicare for All, free college tuition, and taking on corporate greed. The image is likely to be seen as positive by people who support these policies."
id_1100063599387725828_2019-02-25.jpg,neutral,1.0,"The image is of a wolf standing in the snow. The wolf is not showing any particular emotion, so the image is classified as neutral."
id_1096439329289850881_2019-02-15.jpg,positive,0.6,"The image shows a large group of young people marching in a protest against climate change. The people are holding signs and chanting slogans, and they appear to be passionate about their cause. The image is positive because it shows people taking action to address an important issue."
id_1106258091052548096_2019-03-14.jpg,prediction failed,0.0,No sentiment detected.
id_1106609202208956417_2019-03-15.jpg,prediction failed,0.0,No sentiment detected.
id_1093212513293029376_2019-02-06.jpg,positive,0.7,The image is about climate change and the measures that are being taken to address it. The images are all positive and show how the city is taking action to adapt to climate change. The overall sentiment of the image is positive.
id_1105297451395756032_2019-03-12.jpg,positive,0.6,The image is of a young girl holding a sign that says 'I am a Ugandan student. I am not attending classes on Friday. I am striking for climate. I need #ClimateAction Now!!' The girl is smiling and holding the sign up. The background is a schoolyard with trees and a bus. The image is positive because the girl is taking action to fight for climate change. She is using her voice to speak up for what she believes in. The image is also positive because it shows that young people are taking action on climate change. This is a hopeful sign for the future.
