,image,sentiment
0,id_1087717020001542151_2019-01-22.jpg,negative
1,id_1105854449824792576_2019-03-13.jpg,negative
2,id_1088764632901259264_2019-01-25.jpg,positive
3,id_1086040260704985088_2019-01-17.jpg,positive
4,id_1106631808890867714_2019-03-15.jpg,negative
5,id_1097870697974714369_2019-02-19.jpg,positive
6,id_1100063599387725828_2019-02-25.jpg,neutral
7,id_1096439329289850881_2019-02-15.jpg,negative
8,id_1106258091052548096_2019-03-14.jpg,negative
9,id_1106609202208956417_2019-03-15.jpg,positive
10,id_1093212513293029376_2019-02-06.jpg,positive
11,id_1105297451395756032_2019-03-12.jpg,negative
12,id_1101236696803364866_2019-02-28.jpg,positive
13,id_1098689114642280448_2019-02-21.jpg,positive
14,id_1100463707396759557_2019-02-26.jpg,negative
15,id_1091015804190162945_2019-01-31.jpg,negative
16,id_1099176055775076353_2019-02-23.jpg,negative
17,id_1095453755217190912_2019-02-12.jpg,neutral
18,id_1103770123045789696_2019-03-07.jpg,positive
19,id_1096446542704201728_2019-02-15.jpg,positive
20,id_1095374916688457729_2019-02-12.jpg,negative
21,id_1101881775914172417_2019-03-02.jpg,negative
22,id_1087614016699228160_2019-01-22.jpg,positive
23,id_1096701218502656001_2019-02-16.jpg,negative
24,id_1089673675694112770_2019-01-27.jpg,positive
25,id_1099150134351294464_2019-02-23.jpg,negative
26,id_1106596480674979841_2019-03-15.jpg,positive
27,id_1086233216049131520_2019-01-18.jpg,positive
28,id_1087685089633468419_2019-01-22.jpg,positive
29,id_1094234961593450496_2019-02-09.jpg,positive
30,id_1085602875747622912_2019-01-16.jpg,negative
31,id_1106234540874305536_2019-03-14.jpg,positive
32,id_1085968139660214272_2019-01-17.jpg,negative
33,id_1107740730913521664_2019-03-18.jpg,positive
34,id_1096148363647635456_2019-02-14.jpg,positive
35,id_1088675118258311168_2019-01-25.jpg,positive
36,id_1088409899296587777_2019-01-24.jpg,positive
37,id_1103406578592608264_2019-03-06.jpg,positive
38,id_1104895798796419072_2019-03-11.jpg,negative
39,id_1106249686069866496_2019-03-14.jpg,negative
40,id_1083923315515944960_2019-01-12.jpg,negative
41,id_1083901481311440896_2019-01-12.jpg,negative
42,id_1090339456975073281_2019-01-29.jpg,positive
43,id_1081287520762118144_2019-01-04.jpg,positive
44,id_1084842013890101248_2019-01-14.jpg,positive
45,id_1082623163039653889_2019-01-08.jpg,positive
