,img_name,tweet_id_x,text_sentiment_label,image_sentiment_label,image_sentiment,confidence,explanation,text,text_sentiment
0,id_1103707209022783488_2019-03-07.jpg,1103707209022783488,Positive,Positive,positive,0.9,"The image shows three men in suits smiling and laughing together, which suggests that they are happy and enjoying themselves. The overall tone of the image is positive.","Had a good chat with \xe2\x81\xa6@ChrisEvans\xe2\x81\xa9 about how we can protect the world from its biggest existential threat.And no it\xe2\x80\x99s not HYDRA, it\xe2\x80\x99s climate change... https://t.co/xyl4B8hHoy",positive
1,id_1119275549766180864_2019-04-19.jpg,1119275549766180864,Neutral,Neutral,negative,0.8,The image is about a report on how British companies control Africa's key mineral resources. The report is titled 'The New Colonialism: Britain's Scramble for Africa's Energy and Mineral Resources'. The image is negative because it is about how British companies are exploiting Africa's resources.,City of London is massive contributor to climate change. Research by myself for @waronwant in 2016 found that firms listed on London Stock Exchange control $216bn worth of coal just in Africa and are drilling for oil in 27 African countries.  https://t.co/aaAVqOg1Nj https://t.co/Sz7XtDBFGq,negative
2,id_1081406708436688896_2019-01-05.jpg,1081406708436688896,Neutral,Positive,positive,0.9,"The image shows a group of people, including Alexandria Ocasio-Cortez, smiling and laughing. This suggests that the sentiment of the image is positive.",Democratic Rep. Alexandria Ocasio-Cortez proposes taxing the wealthy as high as 70% to fund a climate change plan https://t.co/6W4PqByoA2 https://t.co/KQuhoghcPo,neutral
3,id_1089285642826088448_2019-01-26.jpg,1089285642826088448,Neutral,Positive,positive,0.9,The man in the picture is smiling and clapping his hands. This suggests that he is happy and enjoying himself. The confidence score is high because the man's expression is very positive.,"Austrian muscleman, movie star and former California governor Arnold Schwarzenegger says President Trump is making a \\big mistake\\"" on environmental policy https://t.co/gTaKhHN7qQ https://t.co/WAPtZf0Oxo""",negative
4,id_1156199327586488320_2019-07-30.jpg,1156199327586488320,Positive,Positive,positive,0.9,The image shows a man and a woman smiling at each other while walking in the rain. The man is holding an umbrella and the woman is holding a walking stick. The background is green and lush. The image is positive because it shows two people enjoying each other's company and the beauty of nature.,"\\We\xe2\x80\x99ve stolen their future. Not all of it. But we\xe2\x80\x99ve got to try and pay a little of it back. And get together to try and heal some of the harm, and at least slow down climate change\\"" --Jane Goodall talks to Prince Harry in British Vogue (\xf0\x9f\x93\xb7 Chris Allerton) https://t.co/UPlcDUY2XD https://t.co/BO9ibcyWjT""",neutral
5,id_1135245086063808514_2019-06-02.jpg,1135245086063808514,Neutral,Negative,prediction failed,0.0,No sentiment detected.,Give us a wave when you fly over tomorrow !! @realDonaldTrump #climatechange #ClimateChangeIsReal https://t.co/IzsT2XVpAn,neutral
6,id_1210251468256743429_2019-12-26.jpg,1210251468256743429,Neutral,Neutral,negative,0.6,The image shows three men in suits standing in front of a large house. The men have serious expressions on their faces. The image is cropped in a way that makes the house look ominous. The overall tone of the image is negative.,"Last-Ditch Climate Change Report Provides Locations Of Weapons, Current Whereabouts Of Oil Executives https://t.co/1UU4VHHXVQ #OurAnnualYear2019 https://t.co/t475wVnzhe",neutral
7,id_1181161065226260480_2019-10-07.jpg,1181161065226260480,Negative,Neutral,negative,0.8,The image shows that Australia's emissions are projected to increase. The image also shows that Australia has a large amount of outstanding abatement to achieve its Paris Agreement target. This data indicates that Australia is not on track to meet its emissions reduction targets.,"I\'m told that the secret to good public communication is repetition. So let me repeat this: *Australia is not doing enough on climate change.*If you draw a line across the top of the \\transferred allowances\\"", that\'s what the Federal Government is aiming at over the next decade. https://t.co/7kf6Wq5aiT""",negative
8,id_1197956963717435393_2019-11-22.jpg,1197956963717435393,Positive,Positive,positive,0.7,"The image shows a group of people gathered around a table, with a man in a suit standing at the head of the table. The man is signing a document, and the people around him are looking on with smiles on their faces. The image is well-lit and bright, and the colors are vibrant. The overall impression of the image is one of happiness and celebration.","b""Today, I signed an Executive Order directing the leaders & agencies of my administration to begin collaborating with public, private, & tribal partners to advance NV's ambitious climate goals, tackling the devastating impacts of climate change and protecting NV families... https://t.co/liUYtOTZQK""",positive
9,id_1177675455043948544_2019-09-27.jpg,1177675455043948544,Positive,Positive,positive,0.6,"The image shows a panel of four young women, all of whom are smiling and engaged in conversation. The background is bright and colorful, and the overall tone of the image is positive and optimistic.",Proud to be a part of this all women panel! \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xac\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x9a\x80\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbb\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xab Young innovators are bringing significant contribution to solve #ClimateChange. When women & girls have equal access to tech + innovation \xf0\x9f\x91\x89\xf0\x9f\x8f\xbc we are accelerating #ClimateAction & #ClimateJustice! #Youth2030 https://t.co/fkFGhsPDqe,positive
10,id_1131248054630264833_2019-05-22.jpg,1131248054630264833,Neutral,Negative,neutral,0.8,The image is of a forest with tall trees and a lot of greenery. It has a calming and peaceful atmosphere.,"We can turn the tide on biodiversity loss & #climatechange, but this will require important action: \xe2\x9c\x85 A shift towards plant-based\xf0\x9f\x8c\xb1 diets \xe2\x9c\x85 Restoring \xf0\x9f\x8c\xb3 our degraded planet \xe2\x9c\x85 Accounting for the true value of natureLearn more: https://t.co/NBLdXhjfx8#NewDealforNature https://t.co/Ht2HI3aFS6",neutral
