,image,sentiment
0,id_1085840690846695424_2019-01-17.jpg,Negative
1,id_1083384161220657153_2019-01-10.jpg,Neutral
2,id_1091291744111681536_2019-02-01.jpg,Neutral
3,id_1094127385304330241_2019-02-09.jpg,Neutral
4,id_1095670082448097280_2019-02-13.jpg,Positive
5,id_1093474260851527680_2019-02-07.jpg,Positive
6,id_1093606612881727488_2019-02-07.jpg,Positive
7,id_1090937487541755904_2019-01-31.jpg,Neutral
8,id_1088680148935667713_2019-01-25.jpg,Neutral
9,id_1085158489570402304_2019-01-15.jpg,Neutral
10,id_1081767556992491520_2019-01-06.jpg,Positive
11,id_1089989262634713088_2019-01-28.jpg,Positive
12,id_1093532466231545856_2019-02-07.jpg,Neutral
13,id_1092935156363657216_2019-02-05.jpg,Positive
14,id_1090216509694107648_2019-01-29.jpg,Neutral
15,id_1088177609127559168_2019-01-23.jpg,Positive
16,id_1083664881788825601_2019-01-11.jpg,Neutral
17,id_1094386223836217346_2019-02-10.jpg,Positive
18,id_1081122255873236993_2019-01-04.jpg,Negative
19,id_1091771292712198144_2019-02-02.jpg,Neutral
20,id_1090171467281645568_2019-01-29.jpg,Neutral
21,id_1086071960704933888_2019-01-18.jpg,Negative
22,id_1083468636650700800_2019-01-10.jpg,Neutral
23,id_1088772757750456321_2019-01-25.jpg,Positive
24,id_1087257747073191937_2019-01-21.jpg,Neutral
25,id_1093142787304886273_2019-02-06.jpg,Neutral
26,id_1090176360885178370_2019-01-29.jpg,Positive
27,id_1090871229224046592_2019-01-31.jpg,Positive
28,id_1092233479264325634_2019-02-04.jpg,Negative
29,id_1095642317334216704_2019-02-13.jpg,Positive
30,id_1082645727749246977_2019-01-08.jpg,Neutral
31,id_1083343982074216450_2019-01-10.jpg,Neutral
32,id_1087763462879698945_2019-01-22.jpg,Negative
33,id_1086189068315250689_2019-01-18.jpg,Neutral
34,id_1089276448790274048_2019-01-26.jpg,Positive
35,id_1086567449540128768_2019-01-19.jpg,Neutral
36,id_1085660594307354630_2019-01-16.jpg,Neutral
37,id_1095654108617428992_2019-02-13.jpg,Positive
38,id_1088140251896401922_2019-01-23.jpg,Negative
